完整路径,文件名,文件大小,文件大小(MB),MD5值,分析时间(秒),分析帧数,成功分析帧数,匹配标签数,匹配标签列表,标签详情,错误信息
/Volumes/HC530_1/待整理/新建文件夹/HMN-260.mp4,HMN-260.mp4,5350961702,5103.1,865b584a3d265f9f09dc7e9c7fee2450,218.8,10,10,15,"中年, 内衣, 卷发, 和服, 姿势, 床上, 性感, 成熟, 旗袍, 模特, 短发, 苗条, 身材, 酒店, 长发","{""性感"": 6, ""身材"": 5, ""模特"": 4, ""长发"": 4, ""姿势"": 3, ""床上"": 3, ""苗条"": 3, ""酒店"": 3, ""卷发"": 1, ""短发"": 1, ""内衣"": 1, ""成熟"": 1, ""中年"": 1, ""和服"": 1, ""旗袍"": 1}",
/Volumes/HC530_1/待整理/新建文件夹/!SSIS-139.mp4,!SSIS-139.mp4,7368507109,7027.2,91ca983f5fb7235d26e341dab68d9988,228.2,10,10,15,"中年, 内衣, 制服, 口交, 姿势, 床上, 性感, 护士, 模特, 浴室, 淡妆, 短发, 苗条, 身材, 酒店","{""酒店"": 6, ""短发"": 5, ""身材"": 4, ""床上"": 2, ""姿势"": 2, ""模特"": 2, ""护士"": 1, ""性感"": 1, ""中年"": 1, ""淡妆"": 1, ""制服"": 1, ""苗条"": 1, ""浴室"": 1, ""内衣"": 1, ""口交"": 1}",
/Volumes/HC530_1/待整理/新建文件夹/MBYD-367.mp4,MBYD-367.mp4,2950741912,2814.0,4fe5134793fb038cbabad19147cd5e72,242.2,11,11,16,"中年, 人妻, 厨房, 学生, 床上, 微胖, 性感, 成熟, 按摩, 模特, 熟女, 短发, 身材, 酒店, 长发, 马尾","{""身材"": 4, ""短发"": 3, ""中年"": 3, ""长发"": 3, ""床上"": 2, ""模特"": 2, ""学生"": 1, ""人妻"": 1, ""熟女"": 1, ""成熟"": 1, ""按摩"": 1, ""厨房"": 1, ""性感"": 1, ""马尾"": 1, ""微胖"": 1, ""酒店"": 1}",
/Volumes/HC530_1/待整理/新建文件夹/!!PRED-434.mp4,!!PRED-434.mp4,5296617634,5051.2,e865e3a29a245fd4a050e98a2ac56528,202.7,10,10,18,"中年, 内衣, 卷发, 姿势, 床上, 性感, 成熟, 按摩, 模特, 熟女, 睡衣, 短发, 职业装, 苗条, 身材, 酒店, 长发, 马尾","{""床上"": 6, ""身材"": 6, ""苗条"": 6, ""长发"": 5, ""酒店"": 5, ""性感"": 4, ""成熟"": 3, ""模特"": 3, ""内衣"": 3, ""卷发"": 2, ""职业装"": 1, ""睡衣"": 1, ""马尾"": 1, ""姿势"": 1, ""熟女"": 1, ""中年"": 1, ""短发"": 1, ""按摩"": 1}",
/Volumes/HC530_1/待整理/新建文件夹/MBYD-371.mp4,MBYD-371.mp4,10566629663,10077.1,c2eeaaeec67a488cdf863d20b180223e,225.9,10,10,16,"中年, 内衣, 卷发, 双马尾, 和服, 姿势, 性感, 情趣, 按摩, 模特, 短发, 苗条, 身材, 酒店, 长发, 马尾","{""身材"": 6, ""短发"": 4, ""模特"": 3, ""内衣"": 3, ""长发"": 3, ""酒店"": 2, ""中年"": 2, ""苗条"": 2, ""性感"": 2, ""卷发"": 1, ""按摩"": 1, ""姿势"": 1, ""情趣"": 1, ""和服"": 1, ""马尾"": 1, ""双马尾"": 1}",
/Volumes/HC530_1/待整理/新建文件夹/FC2-PPV-2843783/FC2-PPV-2843783.mp4,FC2-PPV-2843783.mp4,1726267537,1646.3,d66d8588af3a5da3bcac40eb1282c34b,471.9,11,11,15,"制服, 办公室, 口交, 和服, 姿势, 学生, 少女, 床上, 淡妆, 短发, 职业装, 苗条, 身材, 酒店, 长发","{""身材"": 9, ""学生"": 6, ""制服"": 6, ""短发"": 6, ""长发"": 4, ""苗条"": 4, ""口交"": 3, ""酒店"": 3, ""姿势"": 3, ""办公室"": 2, ""职业装"": 2, ""少女"": 1, ""和服"": 1, ""淡妆"": 1, ""床上"": 1}",
/Volumes/HC530_1/待整理/新建文件夹/hjd2048.com-0406ssni168-h264/HJD2048.COM-0406SSNI168-H264.mp4,HJD2048.COM-0406SSNI168-H264.mp4,3715506936,3543.4,371e3f8521e024ff996628587bea1c89,558.2,11,11,15,"中年, 内衣, 口交, 后入, 姿势, 床上, 性感, 成熟, 按摩, 模特, 短发, 苗条, 身材, 酒店, 长发","{""身材"": 5, ""床上"": 5, ""酒店"": 5, ""短发"": 4, ""苗条"": 3, ""口交"": 2, ""姿势"": 2, ""性感"": 2, ""成熟"": 2, ""按摩"": 1, ""后入"": 1, ""中年"": 1, ""内衣"": 1, ""长发"": 1, ""模特"": 1}",
/Volumes/HC530_1/待整理/新建文件夹/hjd2048.com-0406ssni168-h264/SSNI168-5.mp4,SSNI168-5.mp4,454950996,433.9,e7e4be526106e26deff3c8bc507b6c79,529.3,11,11,21,"中年, 内衣, 制服, 卷发, 口交, 大学生, 天花板, 姿势, 学生, 床上, 性感, 按摩, 模特, 淡妆, 短发, 职业装, 苗条, 身材, 酒店, 长发, 马尾","{""长发"": 6, ""身材"": 5, ""苗条"": 5, ""酒店"": 5, ""短发"": 4, ""床上"": 3, ""学生"": 2, ""淡妆"": 2, ""性感"": 2, ""口交"": 2, ""模特"": 2, ""按摩"": 2, ""马尾"": 2, ""职业装"": 1, ""大学生"": 1, ""中年"": 1, ""姿势"": 1, ""天花板"": 1, ""制服"": 1, ""内衣"": 1, ""卷发"": 1}",
/Volumes/HC530_1/待整理/av2/MIDV-240.mp4,MIDV-240.mp4,6561635058,6257.7,e95854ad0096e7edcb5ae59e816ee861,476.4,10,8,19,"丁字裤, 丝袜, 中年, 内衣, 制服, 办公室, 学生, 床上, 性感, 成熟, 模特, 浴室, 眼镜, 短发, 职业装, 苗条, 身材, 酒店, 长发","{""长发"": 5, ""苗条"": 4, ""身材"": 3, ""中年"": 2, ""性感"": 2, ""内衣"": 2, ""职业装"": 1, ""眼镜"": 1, ""短发"": 1, ""酒店"": 1, ""学生"": 1, ""办公室"": 1, ""制服"": 1, ""浴室"": 1, ""丝袜"": 1, ""模特"": 1, ""成熟"": 1, ""床上"": 1, ""丁字裤"": 1}",
/Volumes/HC530_1/待整理/AV/MKMP-485.mp4,MKMP-485.mp4,6861455730,6543.6,b0a461c7385f534dff2263eb23b1758f,480.1,10,10,19,"内衣, 制服, 医生, 医院, 口交, 天花板, 学生, 床上, 性感, 情趣, 护士, 模特, 淡妆, 真实, 短发, 苗条, 身材, 酒店, 长发","{""短发"": 5, ""护士"": 4, ""床上"": 4, ""身材"": 3, ""性感"": 3, ""苗条"": 3, ""内衣"": 3, ""制服"": 3, ""医院"": 3, ""长发"": 3, ""淡妆"": 2, ""学生"": 2, ""情趣"": 1, ""模特"": 1, ""天花板"": 1, ""医生"": 1, ""口交"": 1, ""真实"": 1, ""酒店"": 1}",
