absolute_path,file_name,file_size_bytes,file_md5,女性人物形象描述,场景和剧情推测,提取关键词,存在的标签有
/Users/firewell/Library/CloudStorage/OneDrive-个人/bioinfo/视频分析/“很爽吗阿姨，爽就叫出来啊，你也太闷骚了”.mp4,“很爽吗阿姨，爽就叫出来啊，你也太闷骚了”.mp4,54312500,f385a649f8201d4ba94ec937bb572680,"- 外貌特征：年龄约30 - 40岁（熟女区间），身材丰满，曲线明显；发型为黑色长发，发丝柔顺；妆容为淡妆风格，突出面部精致感与身材表现力。
- 服装穿着：身着银灰色带亮片的紧身上衣（性感风格服饰），搭配黑色丝袜；无眼镜、眼罩等配饰，鞋子未在画面中呈现（场景为室内床铺，穿着丝袜可替代）。
- 是否穿着丝袜以及丝袜的颜色：穿着黑色丝袜。
- 整体气质和风格：整体气质偏向成熟性感，风格为情色题材中的熟女角色，互动时展现出开放且媚态十足的姿态，风格成熟且富有魅力。","- 女性职业：推测为情色影视演员，饰演熟女类剧情角色。
- 场景环境描述：场景为室内私密空间，设有床铺，布置简洁，光线柔和，属于封闭的私人环境（如酒店房间、私人住宅卧室等），环境氛围私密，适合亲密行为演绎。
- 可能的剧情情节：剧情围绕亲密互动展开，属于情色影视题材，角色间进行亲密身体接触、性相关互动等表演行为，属于情节化的表演内容。
- 人物关系和互动：女性与其他角色（如男性等）存在亲密互动关系，属于配合演出的演员合作互动，关系为表演性的亲密协作，互动形式为肢体接触、性相关动作等。",提取能够描述人物和场景的关键词（重点关注人物特征、服装、场景、动作等）：熟女、银灰色服装、黑色丝袜、室内床、亲密互动、性感、丰满、巨乳、阿姨、少妇、丝袜、情趣装、御姐、姐姐、约炮、出轨、床上、淫妻、漂亮、高颜值、媚、丝袜、奶子、情趣装、姐姐、床上、性感。,阿姨、熟女、少妇、巨乳、丰满、黑丝、丝袜、性感、御姐、姐姐、约炮、出轨、床上、情趣装、淫妻、漂亮、高颜值、奶子、丝袜、御姐、情趣装、姐姐、床上、性感
/Users/firewell/Library/CloudStorage/OneDrive-个人/bioinfo/视频分析/两黑丝TS和直男3P.mp4,两黑丝TS和直男3P.mp4,49333995,d0d88b821cde31f85b01fe37deb4859b,"- 外貌特征：年龄呈现成熟感，推测约30 - 40岁，身材高挑且曲线优美，发型为黑色长卷发（或直发），妆容为浓妆，突出红唇、眼妆等，面部精致，凸显魅惑气质。
- 服装穿着：身着黑色性感服饰，包含黑色吊带式内衣、带有蕾丝装饰的短款上衣，风格为情趣装、媚惑装；搭配黑色长筒丝袜（黑丝），无眼镜、眼罩等配饰；服装以黑色为主，搭配黑色蕾丝与网纱，风格性感、风情。
- 是否穿着丝袜以及丝袜的颜色：穿着黑色丝袜（黑丝），丝袜颜色为黑色。
- 整体气质和风格：气质成熟、性感，带有主导性魅力，风格偏向媚惑、风情，属于TS（跨性别/变性）角色风格，整体呈现魅惑、魅力的成熟女性形象。","- 女性职业：推测为情色行业从业者，如TS（跨性别表演者）、情色模特或女技师等，在成人影片中饰演具有魅惑气质的女性角色。
- 场景环境描述：场景为室内私密空间，具体为卧室或酒店房间，空间内有床、镜子、装饰画、窗帘等布置，光线柔和，属于私密、舒适的性互动场景。
- 可能的剧情情节：围绕“两女性与一名男性”的三人互动性剧情，包含亲密接吻、性爱接触、性爱等成人影片常见的情色场景，属于性爱/情色表演类剧情，强调角色间的性互动与搭配。
- 人物关系和互动：两女性为表演搭档（或闺蜜、同行关系），与男性为性互动对象，关系为性伴侣关系，互动包含亲密亲昵、性接触、性爱等动作，呈现多人性互动的剧情走向。",提取能够描述人物和场景的关键词，重点关注人物特征、服装、场景、动作等，标签包括：黑丝、熟女、性感、成熟、长发、浓妆、情趣装、黑色、蕾丝、室内、卧室、床、性互动、亲密、一男两女、媚惑、媚娘等。,黑丝、人妖、一男两女、性感、内射、口交、床上、调教、熟女、熟妇、媚惑、御姐、漂亮、约炮、出轨、女技师、秘书、姐姐、多人、群交、酒店、丝袜、奶子、高颜值、自慰、淫妻、强奸、迷奸、长发、浓妆、丰满、红唇
/Users/firewell/Library/CloudStorage/OneDrive-个人/bioinfo/视频分析/露脸做爱！巨乳人妻！网袜真的很诱人.mp4,露脸做爱！巨乳人妻！网袜真的很诱人.mp4,168099742,3fd68e55b53c8983ca47a57866ea5626,"- 外貌特征：年龄属于成熟女性（约30 - 40岁），身材丰满，胸部硕大呈现“巨乳”特征；发型为黑色长发，妆容为浓妆（眼妆、唇妆突出），整体给人成熟且性感的视觉效果。
- 服装穿着：身着黑色连体网袜（或网状情趣装），无其他外露衣物；未佩戴眼镜、眼罩等配饰。
- 是否穿着丝袜以及丝袜的颜色：穿着丝袜，丝袜颜色为黑色（网袜属于丝袜范畴，故为黑丝）。
- 整体气质和风格：气质性感、成熟，风格偏向成人影视中情色角色的呈现，整体风格带有亲密、性感的特质。","- 女性职业：推测为成人影视演员，饰演情色/性爱互动类角色，属于情色影片中的女性表演者。
- 场景环境描述：场景为室内酒店房间，包含床、现代家具（如装饰隔断、紫色灯光）、私密居住空间，环境布置现代且具有私密性。
- 可能的剧情情节：呈现成人影视中的性爱互动情节，包含一对一、多人参与的亲密行为，属于情色影片的常规剧情，展现亲密、性爱类的互动场景。
- 人物关系和互动：存在男性角色，女性角色间存在亲密互动（性爱、身体接触等），多人参与时呈现群体性互动关系，属于成人影视中角色间的情色互动模式。",提取的关键特征标签有：巨乳、人妻、黑丝、网袜、熟女、酒店、床上、多人、群交、一男两女、性感、丝袜、情趣装、御姐、漂亮、约炮、出轨、淫荡、巨乳、黑丝、床上、酒店、丝袜、熟女、情趣装、姐姐、多人、群交、一男两女等。,少妇、人妻、巨乳、黑丝、熟女、酒店、床上、多人、群交、一男两女、性感、丝袜、情趣装、御姐、漂亮、约炮、出轨、淫荡、巨乳、黑丝、床上、酒店、丝袜、熟女、情趣装、姐姐、多人、群交、一男两女、高颜值、自慰、御姐、漂亮、出轨、熟女、淫妻、学妹、口交、情趣装、姐姐、强奸、迷奸、多人、群交、一男两女、OL、酒店、床上、丝袜、情趣装
/Users/firewell/影视/AV/#整理完成/#未知女优/MFCW-055 MFCW-055 あさみ/MFCW-055.mp4,MFCW-055.mp4,1964797422,68afe85c4867df0c2d95cb72b35a2baa,"- 外貌特征：年龄约30岁左右，身材丰满，留着棕色长卷发，妆容为浓妆，有红唇、眼妆等精致妆容，面容精致，五官立体。
- 服装穿着：前期穿着白色一字肩长袖上衣搭配格纹半身裙；后期穿着黑色丝袜、紫色蕾丝内衣，搭配白色短款上衣。未佩戴眼镜或眼罩，可见黑色丝袜，鞋子未明确显示。
- 是否穿着丝袜以及丝袜的颜色：穿着丝袜，颜色为黑色。
- 整体气质和风格：前期在咖啡店时气质相对温和，后期在车内、酒店等场景中展现出主动、挑逗的性感风格，整体风格偏向成人影片中的挑逗性、性感化呈现。","- 女性职业：推测为OL（办公室职员），服装风格兼具职业装与性感元素，契合成人题材中职业女性角色设定。
- 场景环境描述：场景涵盖咖啡店（室内，设有桌椅、砖墙装饰）、车内（驾驶座与副驾区域，呈现汽车内饰）、酒店房间（配备床、浴室等，为现代装修）等。
- 可能的剧情情节：剧情围绕女性与男性在咖啡店相识后，逐步发展亲密关系，从车内互动延伸至酒店房间内的亲密行为，属于成人题材中“约炮”“出轨”类情节，女性角色或担当主动追求或被挑逗的角色。
- 人物关系和互动：女性与男性间为亲密关系，互动包含挑逗、亲昵动作（如亲昵互动、肢体接触等），关系偏向亲密甚至暧昧，整体互动以亲密行为为主。",长发、浓妆、丝袜、轿车、酒店、白色上衣、格纹裙、紫色内衣、挑逗动作、亲密互动、车内场景、酒店场景、性感风格、办公室风格、耳环、红唇、丰满身材,少妇、人妻、熟女、丝袜、车内、酒店、内射、口交、出轨、约炮、浓妆、性感、高颜值、OL、职业装、丰满、巨乳、御姐、姐姐、奶子、床上、口交、情趣装、已婚、对白、骚话、丝袜、奶子、高颜值、御姐、约炮、出轨、内射、口交、车内、酒店、OL、职业装、性感、丰满、黑丝、浓妆、红唇、长发、卷发、巨乳
"/Users/firewell/影视/AV/#整理完成/安藤季世,釜谷明日華,天野結慈,飯島稚由里/SDJS-329 SDJS-329 洗脳リングに侵食されていく…フリを命じられ、ド変態フランス人の言いなり雌玩具として肉便器業務/SDJS-329.mp4",SDJS-329.mp4,10034705919,9dbc6165d8ff1f93fed8520627c48383,"- 外貌特征：年龄推测为20 - 30岁，身材中等（部分画面显示丰满），发型有齐刘海短发、黑色长发等，妆容为淡妆至浓妆（如红唇），部分画面佩戴金属边框眼镜，整体形象兼具职场专业感与性感风格。
- 服装穿着：衣物包含黑色西装外套、白色衬衫、灰色吊带背心、格纹内衣等，类型为职业装（OL制服）与休闲/性感装，颜色以黑色、白色、灰色为主，风格融合职场正式与性感化，鞋子为黑色高跟鞋，未佩戴眼罩，穿着黑色丝袜。
- 整体气质和风格：职场专业感与性感风格结合，后期通过脱衣、互动等动作展现出挑逗、魅惑的气质，属于制服情色风格的扮演角色。","- 女性职业：办公室职员（OL）或职场新人（学生/职场新人）。
- 场景环境描述：场景为办公室（含白板、办公桌、电脑、文件）、会议室、休息区域（有帐篷、餐食区域），环境布置有办公设备与装饰，属于办公场所及周边。
- 可能的剧情情节：围绕办公室职场展开，包含制服展示、团队互动、亲密互动（脱衣、身体接触等），属于职场情色类剧情，可能是制服诱惑或职场关系下的情感/性互动情节。
- 人物关系和互动：同事关系（多名穿制服女性）、上下级关系（男性参与互动），互动形式有合作交流、亲密互动（如脱衣、身体接触等）。",齐刘海、短发、眼镜、西装、制服、丝袜、办公室、OL、职业装、吊带、内衣、互动、脱衣、白板、同事、上级,丝袜、制服、办公室、OL、眼镜、学生、互动、脱衣、同事、办公室、OL、丝袜、眼镜、制服、学生、互动、脱衣、同事（筛选核心标签后综合输出，实际按存在标签列出）
/Users/firewell/影视/AV/#整理完成/岬ひかり/JUR-039-C 新人 岬ひかり 32歳 AV DEBUT 愛に飢えた起業家、100万ドルのイイオンナ。/JUR-039-C.mp4,JUR-039-C.mp4,6373902843,8b4cbf6f7a4c0f7ef932ff034d951ee8,"- 外貌特征：年龄约30 - 40岁，身材丰满，发型为黑色中长发；妆容以淡妆为主，有红唇，呈现成熟女性的韵味；面部皮肤状态良好，整体形象具有成熟性感特质。
- 服装穿着：在不同场景中穿着无袖浅色上衣（搭配橙色下装）、浅紫色蕾丝内衣（含内衣与内裤）、黑色无袖连衣裙、蕾丝风格内衣等；未穿着丝袜；无眼镜、眼罩等配饰。
- 整体气质和风格：整体气质成熟性感，风格偏向成人影片中熟女、人妻类角色，展现出热情、主动的特质。","- 女性职业：推测为成人影片演员，饰演熟女、人妻等角色。
- 场景环境描述：场景为私密室内环境，包含酒店房间（有床、床具、室内家具）与休闲室（有沙发、木质装饰等），环境温馨且私密。
- 可能的剧情情节：剧情围绕女性与男性的亲密互动展开，包含对话、身体接触、亲吻、性爱等情节，属于亲密关系与互动类剧情。
- 人物关系和互动：女性与男性为亲密关系（如情侣、熟人），互动时女性主动、热情，男性配合，关系亲近。",成熟、丰满、长发、红唇、性感、蕾丝内衣、无袖上衣、连衣裙、室内、酒店、亲密互动、接吻、性爱姿势、熟女、人妻、巨乳、床上、长发、红唇、蕾丝、酒店等。,少妇、人妻、熟女、女神、巨乳、身材、性感、御姐、漂亮、出轨、人妻、丰满、微胖、内衣、床上、酒店、亲密、长发、红唇、蕾丝、人妻、模特、高颜值、阿姨、颜值、巨乳、身材、性感、御姐、漂亮、熟女、丰满、微胖、蕾丝、内衣、床上、酒店、亲密、长发、红唇、人妻、少妇
/Users/firewell/影视/AV/#整理完成/待田もか/MFCW-010 MFCW-010 女優の夢を諦め専業主婦に……新婚ほやほやの新妻がマリッジブルーの寂しさを埋めるためチ○コを求めてマッチング！持参の電マで男子高○生ばりの性欲が大爆発！？純白のヴェールを捲って現れた美尻を打ち付けて眺望抜群のホテルで自宅のタワマンを眺めながらの背徳アクメ！【もか/25歳/結婚1ヶ月目】/MFCW-010.mp4,MFCW-010.mp4,4328798849,933a83e93ec4c775f8b05efeea6ce366,"- 外貌特征：年龄约30 - 40岁，身材丰满有曲线感；黑色齐肩短发搭配齐刘海，妆容为淡妆，呈现红唇效果，面部妆容自然亲切，显露出成熟气质。
- 服装穿着：身着蓝色无袖上衣，外搭白色宽松衬衫；下身穿黑色短裙或下装，未佩戴眼镜或眼罩；未明确穿着长筒丝袜，内裤为白色蕾丝款式；整体气质和风格：在互动场景中表现热情主动，整体风格偏向性感且带有职业女性的成熟韵味。
- 是否穿着丝袜以及丝袜的颜色：未明确穿着长筒丝袜，内裤为白色蕾丝款式。
- 整体气质和风格：在互动场景中表现热情主动，整体风格偏向性感且带有职业女性的成熟韵味。","- 女性职业：推测为白领职员（OL）或秘书类职业，服装风格融合职业装与休闲元素。
- 场景环境描述：涵盖户外（电梯、草地、河边步道、车内）与室内（现代办公空间、酒店房间等，有窗户和简约现代布置）。
- 可能的剧情情节：围绕婚外情感互动展开，包含亲密接触、调教等情节，属于成人题材内情感纠葛类剧情。
- 人物关系和互动：与男性存在亲密互动关系，可能为丈夫以外情感伙伴，互动呈现亲密且带情感冲突的状态。",提取的关键词有：齐肩短发、蓝色无袖上衣、白色外搭、蕾丝内裤、黑色下装、户外草地、车内、室内现代空间、亲密互动、抚摸、熟女、性感、职业装、办公室、内衣、丁字裤、野外、酒店、红唇、丰满、微胖、御姐、淡妆、口交、情趣装、姐姐、强奸、迷奸、内射、绿帽、人妻、女友、一男两女、OL、秘书等。,少妇、极品、偷情、老婆、人妻、熟女、性感、御姐、丰满、微胖、高颜值、颜值、红唇、内衣、车内、酒店、办公室、口交、情趣装、姐姐、强奸、迷奸、内射、绿帽、人妻、熟女、性感、女友、一男两女、OL、秘书、丁字裤、野外、酒店
/Users/firewell/影视/AV/#整理完成/愛才りあ/IPZZ-492-C IPZZ-492 FIRST IMPRESSION 178 天然美 NATURAL BEAUTY/IPZZ-492-C.mp4,IPZZ-492-C.mp4,9027371783,36c520b1a6e0f521cd148d609a7e4b85,"- 外貌特征：年龄约25 - 35岁（成熟女性）；身材丰满，胸部与臀部线条明显；发型为黑色长发，直发且长发披肩；妆容为淡妆，唇部有红唇或自然风格妆容。
- 服装穿着：衣物类型包含露肩连衣裙、无袖白色上衣、浅粉色长裙、内裤、裸体状态、黑色蕾丝短袖上衣搭配白色百褶裙等；颜色有浅蓝、白色、粉色、黑色、裸色等；鞋子未在画面中呈现（多为室内或无鞋场景）；无眼镜、眼罩。
- 是否穿着丝袜以及丝袜的颜色：未穿着丝袜。
- 整体气质和风格：作为演员，在剧情中呈现风情、娇媚、温柔的气质，风格为影视表演中的情感与情色类角色呈现。","- 女性职业：推测为影视演员（参演情色或情感类影视作品），也可能饰演角色为普通女性（如妻子、女友等）。
- 场景环境描述：包含室内环境（布置有绿植、灯光、床、沙发、椅子等，风格现代且温馨；也有影视布景的房间），部分场景为户外（有绿意环境）。
- 可能的剧情情节：围绕亲密关系展开，包含对话、互动、亲密行为（如亲昵交流、身体接触等），剧情可能涉及情感倾诉、亲密关系发展等，结合亲密动作推测为情色类剧情。
- 人物关系和互动：与男性角色有亲密互动，关系可能是伴侣（如夫妻、情侣），互动呈现亲密、亲昵、交流等行为，如牵手、身体接触、对话等。",长发、黑色长发、丰满身材、裸体、室内场景、亲密动作、白色上衣、黑色蕾丝上衣、床、沙发、绿植装饰、情色表演、演员、女性、男性互动、裸体、近距离接触,少妇、熟女、巨乳、身材、内射、后入、床上、性感、淫妻、已婚、女神、高颜值、御姐、漂亮
/Users/firewell/影视/AV/#整理完成/愛才りあ/IPZZ-497 IPZZ-497 革命的美少女がイクイク連発！！初体験絶頂4本番スペシャル 愛才りあ （ブルーレイディスク） 生写真3枚付き/IPZZ-497.mp4,IPZZ-497.mp4,9435578677,242423c6891094a5b4a90f9cdb6bc58f,"- 外貌特征：年龄约为25 - 30岁，身材丰满，发型多为黑色长发（部分画面带有齐刘海，整体发型自然且长度较长），妆容具有表演性，有浓妆（突出五官）、淡妆（自然感）与素颜（展现真实感）切换，面部有红唇妆容，整体形象偏向成熟且具有吸引力。
- 服装穿着：衣物类型多样，涵盖休闲（如白色泡泡袖上衣搭配灰紫色长裙、黄色背心）与性感（如裸体、白色蕾丝连衣裙）风格，颜色丰富；未佩戴眼镜、眼罩等配饰；未穿着丝袜。
- 是否穿着丝袜以及丝袜的颜色：未穿着丝袜。
- 整体气质和风格：气质热情且具有表演性，风格偏向性感、主动，通过亲密互动、性爱动作展现活力与魅力。","- 女性职业：推测为成人影视演员，从事具有亲密、性互动内容的演出工作。
- 场景环境描述：包含户外（草地、植被，第一张画面）与室内（卧室、客厅等生活化空间，多张画面），环境布置生活化，属于住宅类场景。
- 可能的剧情情节：围绕亲密关系与性互动展开，包含亲吻、抚摸、性爱姿势等情节，属于成人影视中的情感与性爱类剧情。
- 人物关系和互动：与男性演员有亲密互动关系，包含亲密接触、性爱动作等，关系偏向亲密且具有表演性。",丰满、裸体、性感、户外、室内、长裙、蕾丝连衣裙、背心、亲吻、抚摸、性爱、长发、浓妆、淡妆、素颜、红唇、丰满、微胖、酒店、室内、蕾丝、性爱、多人、一男两女、性感、熟女、巨乳、床上、女友、内射、口交、姐姐、长发、浓妆、淡妆、素颜、丰满、微胖、大奶、巨乳等（提取人物特征、服装、场景、动作等关键信息）。,少妇、熟女、女神、巨乳、奶子、性感、床上、女友、大奶、内射、口交、姐姐、长发、浓妆、淡妆、素颜、丰满、微胖、酒店、蕾丝、亲吻、抚摸、性爱、多人、一男两女、熟女、丰满、巨乳、床上、女友、内射、口交、姐姐、长发、浓妆、淡妆、素颜、丰满、微胖、大奶、巨乳
/Users/firewell/影视/AV/#整理完成/愛才りあ/IPZZ-520-C IPZZ-520 「初泡姫チャレンジします」 即尺即ハメ！！天然美少女のイチャイチャ御奉仕ソープ/IPZZ-520-C.mp4,IPZZ-520-C.mp4,6770298292,e29f01786b7b19418ba84ffa4994a152,"- 外貌特征：年龄约25 - 30岁，身材丰满，长发（部分场景为盘发），妆容为浓妆（眼妆、唇妆明显），整体给人性感成熟气质。
- 服装穿着：穿着白色蕾丝睡衣、白色或黑色丝袜，部分场景为裸露身体状态；无眼镜、眼罩等配饰。
- 是否穿着丝袜以及丝袜的颜色：穿着丝袜，颜色有黑色和白色。
- 整体气质和风格：性感、成熟，主动热情，风格偏向亲密互动与性感表现。","- 女性职业：成人影片演员（或类似亲密表演类演艺人员），饰演“人妻”“熟女”等角色。
- 场景环境描述：包含浴室（瓷砖墙面、浴缸、沐浴用品、花卉装饰等，光线柔和）和室内卧室（沙发、床，布置温馨，有花卉与柔和光线）等私密且舒适的场景。
- 可能的剧情情节：围绕亲密关系展开，包含接吻、爱抚、性爱等互动动作，呈现表演性质的亲密情节，推动人物间情感或性关系发展。
- 人物关系和互动：与男性角色存在亲密互动，关系为表演中的伴侣或合作演员，互动亲密且富有情节性。",熟女、女神、巨乳、黑丝、白丝、浴室、床上、人妻、性感、丝袜、奶子、蕾丝、沐浴、室内、亲密、互动,少妇、熟女、女神、巨乳、黑丝、白丝、浴室、床上、人妻、性感、丝袜、奶子、出轨、人妻、已婚
