title,actor,release_date,video_id,detail_url,studio,rating,duration,magnet_link,all_magnet_links
KDJE-024 【4Kリマスター版】M・ザーメン・トランス 長澤あずさ,長澤あずさ,2023-08-23,KDJE-024,https://javdb564.com/v/xvWbR8,ワープエンタテインメント,4.61,127 分鍾,magnet:?xt=urn:btih:970c56f77cd63972f4941d132f9aa2daf3cc7ee6&dn=[javdb.com]kdje-024.torrent,magnet:?xt=urn:btih:970c56f77cd63972f4941d132f9aa2daf3cc7ee6&dn=[javdb.com]kdje-024.torrent
IKST-003 素人誰コレ 優しく甘やかしてくれる爆乳！ 色白黒髪という神属性 感度良好お姉さん,長澤あずさ,2020-11-28,IKST-003,https://javdb564.com/v/VgKQQ,いきなりエロざんまい,4.36,138 分鍾,magnet:?xt=urn:btih:54a46845f5c49f105a807e8a1e6629a074e726d7&dn=[javdb.com]425IKST-003.torrent,magnet:?xt=urn:btih:54a46845f5c49f105a807e8a1e6629a074e726d7&dn=[javdb.com]425IKST-003.torrent; magnet:?xt=urn:btih:659ae207cfc19cb9f603a938dc8df5406f033111&dn=[javdb.com]425IKST-003.HD; magnet:?xt=urn:btih:1b607b3ff9c786eac4065d7ae1cb35d00ae68adf&dn=[javdb.com]425IKST-003.mp4
PYU-061 お姉さんの美巨乳を服の上から弄んでラブラブHしちゃいましたぁ～！！ 長澤あずさ,長澤あずさ,2020-08-03,PYU-061,https://javdb564.com/v/VzpVn,カムカムぴゅっ！,4.33,35 分鍾,magnet:?xt=urn:btih:72d5d677a097eff901e04878f8248793892bcc9b&dn=[javdb.com]PYU-061,magnet:?xt=urn:btih:72d5d677a097eff901e04878f8248793892bcc9b&dn=[javdb.com]PYU-061
HMHI-516 あずさ,長澤あずさ,2020-07-24,HMHI-516,https://javdb564.com/v/7QnAV,N/A,4.36,32 分鍾,magnet:?xt=urn:btih:c97300e88f522fec0b87305847a866c3a90d5689&dn=[javdb.com]第一會所新片@SIS001@hmhi-516,magnet:?xt=urn:btih:c97300e88f522fec0b87305847a866c3a90d5689&dn=[javdb.com]第一會所新片@SIS001@hmhi-516; magnet:?xt=urn:btih:059c99e950991fce07db706e4a4199b21035ceb5&dn=[javdb.com]1287.[1030gc.com]hmhi-516
CRRV-005 知名AV女優傳播妹來幫破童貞！ 顯示原標題,長澤あずさ,2018-01-13,CRRV-005,https://javdb564.com/v/5E2y9,チェリーズれぼ,4.24,150 分鍾,magnet:?xt=urn:btih:e33d86de78034ecef63392886d2001979c9bb551&dn=[javdb.com][Thz.la]crrv-005,magnet:?xt=urn:btih:e33d86de78034ecef63392886d2001979c9bb551&dn=[javdb.com][Thz.la]crrv-005; magnet:?xt=urn:btih:2074c99d742b66aa72ffbcb2585760e2eb771c2a&dn=[javdb.com]HD-crrv-005; magnet:?xt=urn:btih:2d1d63405443c7c6cf009ee5616475c08179978c&dn=[javdb.com]CRRV-005.mp4; magnet:?xt=urn:btih:c1f564390ba06ad898dc8f2ce3d88f1c660d4e04&dn=[javdb.com]CRRV-005; magnet:?xt=urn:btih:c6fbe1af8ad4785438ae62667cccd0bf7014334c&dn=[javdb.com]第一會所新片@SIS001@(チェリーズれぼ)(CRRV-005)パイ乙BOOTLEGあの超有名AV女優が出勤してるというウワサのデリヘル呼んで筆おろしてモラタ！; magnet:?xt=urn:btih:5b5f04e5574a289d4061731a924e6d39c041aa25&dn=[javdb.com]crrv-005; magnet:?xt=urn:btih:f80362ae87a1e428aa59ae77b3c9fa6b3ee84f02&dn=[javdb.com]crrv-005; magnet:?xt=urn:btih:30c5b582ac54cd7ede2dbbe27796d087feaf1a92&dn=[javdb.com]crrv-005[javxxoo.com].MP4
LADY-048 LADY’S DEEP KISS 顯示原標題,長澤あずさ,2017-05-03,LADY-048,https://javdb564.com/v/VPNKA,N/A,3.0,54 分鍾,magnet:?xt=urn:btih:5aede59ccb2e5d5b159367d6cd98722a8c4acc9d&dn=[javdb.com]LADY-048.wmv,magnet:?xt=urn:btih:5aede59ccb2e5d5b159367d6cd98722a8c4acc9d&dn=[javdb.com]LADY-048.wmv
SHE-226 淫亂人妻偷情溫泉中出之旅 顯示原標題,長澤あずさ,2015-10-10,SHE-226,https://javdb564.com/v/bA80A,ホットエンターテイメント,4.38,240 分鍾,magnet:?xt=urn:btih:6d1344dfc73b0a77e969642a9c756fc3ed9d1db4&dn=[javdb.com]SHE-226-C.mp4.torrent,magnet:?xt=urn:btih:6d1344dfc73b0a77e969642a9c756fc3ed9d1db4&dn=[javdb.com]SHE-226-C.mp4.torrent; magnet:?xt=urn:btih:86984c2fa12cb70e4d4a440aeb8c7e2ac18f068b&dn=[javdb.com]SHE-226.mp4; magnet:?xt=urn:btih:8d9cc7e587a0b79953ea4f7b53cb85edeba237b8&dn=[javdb.com]SHE-226.mp4; magnet:?xt=urn:btih:5b7dc3d18a80af0fcc3ca1acd2e00bf7cadda3b5&dn=[javdb.com]SHE-226.mp4; magnet:?xt=urn:btih:acb3867dab489f9b4052148173fd89ce7a117cbd&dn=[javdb.com]SHE-226 淫らな人妻との温泉中出しの旅 平穏な毎日に不満があるわけではないがどこか物足りない。もう一度だけときめきを感じたくて女は見知らぬ男に抱かれる…; magnet:?xt=urn:btih:e67e58c52152cd860eb3423222502f39ce547b3d&dn=[javdb.com]第一會所新片@SIS001@(HOT)(SHE-226)淫らな人妻との温泉中出しの旅_平穏な毎日に不満があるわけではないがどこか物足りない。
SHKD-515 激情強暴 2～被盯上的護士～ 長澤梓 顯示原標題,長澤あずさ,2013-08-07,SHKD-515,https://javdb564.com/v/me5BY,Attackers,4.5,120 分鍾,magnet:?xt=urn:btih:62d50a3393c21ccca042299e4ece59f4a4f55cae&dn=[javdb.com]shkd-515-C.torrent,"magnet:?xt=urn:btih:62d50a3393c21ccca042299e4ece59f4a4f55cae&dn=[javdb.com]shkd-515-C.torrent; magnet:?xt=urn:btih:f30da56cc4451d1f2f26e246c280c70d63d942a0&dn=[javdb.com](死夜悪)(SHKD-515)激情レイプ2～狙われた看護師～長澤あずさ.mp4; magnet:?xt=urn:btih:750f3ae9442e1f6a957b1887a50eaedc92a88440&dn=[javdb.com]SHKD-515,.avi; magnet:?xt=urn:btih:9fbf07039f8e18c6e40d4b2fe78245486024be9b&dn=[javdb.com]SHKD-515; magnet:?xt=urn:btih:a2bfe32e8de26911ff46c67796aa5c41b28d2924&dn=[javdb.com]SHKD-515 激情レイプ2～狙われた看護師～ 長澤あずさ.rmvb; magnet:?xt=urn:btih:b9fa41c602f261912a0487bce7f300ad7ca31d48&dn=[javdb.com]SHKD-515.長澤梓.激情レイプ2～狙われた看護師～ 長澤あずさ; magnet:?xt=urn:btih:08b40b0deaafc51dc3de9f498b182823ccd533d4&dn=[javdb.com]30.(死夜悪)(SHKD-515)激情レイプ2～狙われた看護師～長澤あずさ; magnet:?xt=urn:btih:81d261bc8ba990866ff45865f0a86437fb569c9b&dn=[javdb.com]【WCP】SHKD-515 jiqingreip; magnet:?xt=urn:btih:d9d0ab8b3ed44badd52f62c239909d0f5041f782&dn=[javdb.com]SHKD-515-AVI; magnet:?xt=urn:btih:f8ac75fc896439c548261042fe7c4d672738fdbd&dn=[javdb.com]SHKD-515 激情強姦2～被瞄準的護士～長澤; magnet:?xt=urn:btih:2a42b212bbfdf30678d741df381232b0b07c8f26&dn=[javdb.com]复活126@第一会所@SHKD-515; magnet:?xt=urn:btih:d9cf4b7ad26a0ad535d04df67f8490768866f9d4&dn=[javdb.com]SHKD_515@oldman; magnet:?xt=urn:btih:0dacbd66c903d761680b152647e38c9abacb2f48&dn=[javdb.com]Azusa Nagasawa - Nurse is a Target 2 to passion rape [SHKD-515]; magnet:?xt=urn:btih:6f69365eb748d70d8be32f574da463b1146dd830&dn=[javdb.com]SHKD-515; magnet:?xt=urn:btih:34b384d17a19ae1ece2547111b1e22b8e82040e6&dn=[javdb.com]第一會所新片@SIS001@(死夜悪)(SHKD-515)激情レイプ2～狙われた看護師～長澤あずさ; magnet:?xt=urn:btih:f48b1047086280c508d3b84ec498434af282c167&dn=[javdb.com]im-520@SIS001@SHKD-515; magnet:?xt=urn:btih:d56a67ad579c510279205979cde50d545ce3c65c&dn=[javdb.com]【亞瑟王】【SEX8.CC】SHKD-515 激情レイプ2～狙われた看護師～ 長澤あずさ"
VEC-068 老婆被按摩師睡走了 長澤梓 顯示原標題,長澤あずさ,2013-06-01,VEC-068,https://javdb564.com/v/k4gNN,VENUS,4.21,105 分鍾,magnet:?xt=urn:btih:c0f93da9473b7021d81cde8d8be552472cba9dd3&dn=[javdb.com]vec-068-C.torrent,magnet:?xt=urn:btih:c0f93da9473b7021d81cde8d8be552472cba9dd3&dn=[javdb.com]vec-068-C.torrent; magnet:?xt=urn:btih:9098996ee6ec9af93b6790cf3182db11081c031c&dn=[javdb.com]VEC-068.mp4; magnet:?xt=urn:btih:5433d29c9bb28fda96224de511c3610116cb9101&dn=[javdb.com]VEC-068-JAVFILE.ORG.mp4; magnet:?xt=urn:btih:68433e9f95ea056c492cb6a719d48ce26df259be&dn=[javdb.com]VEC-068; magnet:?xt=urn:btih:85c0a1502ec3f99856bea5ea4068ce49ef47b8f7&dn=[javdb.com]VEC-068-AVI; magnet:?xt=urn:btih:3936b659b28e737981b94450cd7a06101d96bad2&dn=[javdb.com]VEC-068 Azusa Nagasawa 조루 남편에게 불만인 아내 마사지를; magnet:?xt=urn:btih:2254fe411ac062715d487281e3d1dad339c1c236&dn=[javdb.com]VEC-068; magnet:?xt=urn:btih:5ee30f73d4ded00faf3575b1e745cf6a6718f9b0&dn=[javdb.com]第一會所新片@SIS001@(VENUS)(VEC-068)嫁をマッサージ師に寝取られた_長澤あずさ; magnet:?xt=urn:btih:cb0ee10b15d3c0a2237599be8ed8845d6e6db73a&dn=[javdb.com]VEC-068 跟按摩師偷情的媳婦兒~長澤あずさ; magnet:?xt=urn:btih:3fa0b51d754b208e2db1b19520f01911a265c3e9&dn=[javdb.com]im-520@SIS001@VEC-068; magnet:?xt=urn:btih:23ab09f3d5f29e3c77a0b98b5f333e9448ae1c5e&dn=[javdb.com]wo-010101@www.sexinsex.net@vec-068; magnet:?xt=urn:btih:2ac908530cd0995cca33389f31727c4fb04938eb&dn=[javdb.com]【sharemovie】【sex8.cc】vec-068亚洲妻子给她按摩师; magnet:?xt=urn:btih:21852a80f0eb62725033aabd65029b651eb67d5a&dn=[javdb.com]www.00-jav.com-VEC-068.rmvb
MIGD-501 搜查官慘遭觸手肏翻兩穴 長澤梓 顯示原標題,長澤あずさ,2013-04-01,MIGD-501,https://javdb564.com/v/0Rnb3,MOODYZ,4.5,120 分鍾,magnet:?xt=urn:btih:49c46b290ce63348497d706b50fe93c88abb487a&dn=[javdb.com]MIGD-501-C.torrent,magnet:?xt=urn:btih:49c46b290ce63348497d706b50fe93c88abb487a&dn=[javdb.com]MIGD-501-C.torrent; magnet:?xt=urn:btih:ca7260f2767e5b9a3a842a070125e643369ed456&dn=[javdb.com]MIGD-501.wmv; magnet:?xt=urn:btih:68ad908e926d9dc847b5816b6e034cd93b20f8b3&dn=[javdb.com]MIGD-501.wmv; magnet:?xt=urn:btih:2c3a96f806b8322e957ed0880f948ef87beff9b8&dn=[javdb.com]MIGD-501.wmv; magnet:?xt=urn:btih:770d9147cbee89ef871535f88d79d395367ffb88&dn=[javdb.com]MIGD-501-AV.wmv; magnet:?xt=urn:btih:a437887cf48129c2bbf559b4957c68f88db0385e&dn=[javdb.com]MIGD-501.wmv; magnet:?xt=urn:btih:847232a749c7d1a4886698bbd2c4702a266f4db8&dn=[javdb.com]MIGD-501; magnet:?xt=urn:btih:bcd3c28def190fcab4be23bf50452d0de3d17763&dn=[javdb.com]小馬@SIS001@[MIGD-501]2穴触手_～追憶の捜査官～; magnet:?xt=urn:btih:e973bfaba4f0264b88e28090249f18f62c245e5c&dn=[javdb.com]MIGD-501; magnet:?xt=urn:btih:4ec075899587973599368c2ffcffb95a28342bd2&dn=[javdb.com][javtorrent.biz]_migd-501; magnet:?xt=urn:btih:501db9cf5115d805af4fc17683ee56d62523abb2&dn=[javdb.com][MIGD-501]2穴触手_～追憶の捜査官～; magnet:?xt=urn:btih:e26958ba8b53dd3d4322fa0650a7c18abc5b38de&dn=[javdb.com]第一會所新片@SIS001@(MOODYZ)(MIGD-501)2穴触手_～追憶の捜査官～長澤あずさ; magnet:?xt=urn:btih:0c091dead4865491641b03ff0e73af9ea675d4ff&dn=[javdb.com]im-520@SIS001@MIGD-501; magnet:?xt=urn:btih:f1aadcff2b4ad7728715e8409c4e99a54762bec9&dn=[javdb.com]疯魔舞@www.SexInSex.net@MIGD-501; magnet:?xt=urn:btih:f822a766110e37edd49d35909816ffbae317f4b4&dn=[javdb.com]MIGD-501-[24-jav.net].wmv; magnet:?xt=urn:btih:51893e00e3b39893d179d0e5c2db4ee1cb5ba36e&dn=[javdb.com]javset.com-MIGD-501.WMV
